ID	log2fold	p	p.adj
ENSG00000123119	2.61639711197376	1.28882140703921e-09	2.66283390908372e-05
ENSG00000204936	4.14219126385975	3.2060032969672e-09	3.31196170593197e-05
ENSG00000135424	2.72610144822399	8.86812527609132e-09	6.10747787764409e-05
ENSG00000163958	3.21610010209657	1.50299947990504e-08	7.76336806357952e-05
ENSG00000078114	3.48918699914037	4.88210813600582e-08	0.000144098908854309
ENSG00000115884	3.25807104182925	4.77696832107529e-08	0.000144098908854309
ENSG00000243273	2.60253248246489	4.10395902285445e-08	0.000144098908854309
ENSG00000145431	1.9878203165357	3.49631736662481e-07	0.00090296766389794
ENSG00000196636	1.35848222182447	6.9162726684653e-07	0.00119080924669301
ENSG00000120217	2.25883420094724	6.35965306939731e-07	0.00119080924669301
ENSG00000172179	2.85589790383885	6.65881624920232e-07	0.00119080924669301
ENSG00000234571	2.68952220915851	6.86530334570468e-07	0.00119080924669301
ENSG00000112299	2.09473328864026	9.55830702160476e-07	0.00147418455411421
ENSG00000271646	0.604004238565032	9.98915045622138e-07	0.00147418455411421
ENSG00000182308	1.18728059289746	1.27201786935972e-06	0.00175207741325607
ENSG00000223401	1.64041203957543	1.39931087848618e-06	0.00180694762877519
ENSG00000100095	-1.21958006308069	1.59456097608957e-06	0.00193795437217569
ENSG00000233030	1.68932479436792	1.73108265087014e-06	0.00198699436942378
ENSG00000116717	1.80972306410907	1.91281364162477e-06	0.00208003382366366
ENSG00000148154	1.44903286460521	2.04042888951861e-06	0.0021078650643172
ENSG00000261211	1.70595385307026	2.37141365456347e-06	0.00233313226271123
ENSG00000101187	1.75371587081397	2.61643109265207e-06	0.00245718558205838
ENSG00000123080	1.16971471620929	3.83906395764123e-06	0.0029970147423094
ENSG00000196074	1.21187253322468	4.06158524682558e-06	0.0029970147423094
ENSG00000266265	3.21406511979811	3.81165171712532e-06	0.0029970147423094
ENSG00000162971	0.911624744759642	3.67076043276531e-06	0.0029970147423094
ENSG00000136861	1.16233340500733	3.90813716520461e-06	0.0029970147423094
ENSG00000233029	1.77966760829679	3.96650290835251e-06	0.0029970147423094
ENSG00000273487	1.50257716082752	4.44096201077506e-06	0.00316395572774564
ENSG00000123610	1.99600960467584	4.87357066100297e-06	0.0032278480528696
ENSG00000155307	1.77045518563257	5.46801615848392e-06	0.0032278480528696
ENSG00000185222	1.27004017249482	4.90264681715948e-06	0.0032278480528696
ENSG00000163710	3.46473505386864	5.17551176582943e-06	0.0032278480528696
ENSG00000103723	2.58149156774109	5.01206236671209e-06	0.0032278480528696
ENSG00000259381	1.59754962386401	5.33677837832046e-06	0.0032278480528696
ENSG00000145365	1.30807143967848	5.65239685858933e-06	0.00324400476375873
ENSG00000085063	1.38742490567866	6.16626299195813e-06	0.00344327458586073
ENSG00000123836	1.9361345954783	6.38458859256379e-06	0.00347136802397265
ENSG00000182118	1.3365596301534	6.70483550202866e-06	0.00355201554634395
ENSG00000175611	0.71724407343639	7.25639019210734e-06	0.00374810694397824
ENSG00000228716	0.641477133079435	7.46238985810902e-06	0.00376049845996074
ENSG00000154589	1.51037904104214	8.24813012188048e-06	0.00378699147662606
ENSG00000272398	1.47786787848686	8.24603961092265e-06	0.00378699147662606
ENSG00000152766	2.32286637261733	7.94045987853849e-06	0.00378699147662606
ENSG00000189127	1.87365575238462	7.98859954403489e-06	0.00378699147662606
ENSG00000118520	2.60198846911883	9.33235481623937e-06	0.00419164745344177
ENSG00000183347	2.23511820185635	1.09875174909508e-05	0.00465749284505655
ENSG00000169397	2.07144785204329	1.10457939793703e-05	0.00465749284505655
ENSG00000148175	1.25352114973216	1.08571184369711e-05	0.00465749284505655
ENSG00000145287	0.848396671307343	1.19212056018606e-05	0.00492608057880085
ENSG00000198018	1.17897423854716	1.21746106186156e-05	0.0049321496076709
ENSG00000166527	1.80395491080864	1.39245233488371e-05	0.00540887578375039
ENSG00000265531	2.0088471489761	1.43985367652229e-05	0.00540887578375039
ENSG00000110852	1.25846727654232	1.43117478217206e-05	0.00540887578375039
ENSG00000106261	0.311269667540019	1.39012924254283e-05	0.00540887578375039
ENSG00000196345	0.980670154471496	1.47533501529971e-05	0.00544319584841202
ENSG00000249309	1.64792197587903	1.56255731240054e-05	0.00566385905815922
ENSG00000163754	1.4972174483142	1.65380693579309e-05	0.00568793215749671
ENSG00000174123	0.908912801650595	1.67931785299501e-05	0.00568793215749671
ENSG00000238009	1.87325658063349	1.61678807487201e-05	0.00568793215749671
ENSG00000143452	1.00337245966674	1.65958810695679e-05	0.00568793215749671
ENSG00000236439	1.60695121807699	1.87267259328487e-05	0.0062405303951385
ENSG00000150337	1.78033263660228	1.95880311734432e-05	0.00642394146150017
ENSG00000261596	1.13978640279031	2.12648009427945e-05	0.00649654876783605
ENSG00000168916	1.97295750427969	2.07638213737924e-05	0.00649654876783605
ENSG00000118985	0.84232272387085	2.13816038048909e-05	0.00649654876783605
ENSG00000105246	1.61528786445408	2.11520645948825e-05	0.00649654876783605
ENSG00000145555	1.87789661377809	2.01873112422813e-05	0.00649654876783605
ENSG00000164741	1.5746719381892	2.24932569490964e-05	0.00673526350471423
ENSG00000236778	0.729966927453277	2.30317169527739e-05	0.00679797577087517
ENSG00000257743	1.42659436600554	2.48140470078052e-05	0.00722088767927133
ENSG00000137500	0.525650978207027	2.61125139419751e-05	0.00742412721246024
ENSG00000132465	1.60279983366182	2.69080717099908e-05	0.00742412721246024
ENSG00000149516	1.86016526337856	2.66732499490959e-05	0.00742412721246024
ENSG00000174799	0.651370939740577	2.69497865996088e-05	0.00742412721246024
ENSG00000108984	1.28556051393536	2.85668796637807e-05	0.00766054567183991
ENSG00000172232	2.36058718165962	2.89203118146998e-05	0.00766054567183991
ENSG00000274750	1.387556503536	2.83213646865621e-05	0.00766054567183991
ENSG00000072571	1.4164120990621	2.95379797503489e-05	0.00772248155280644
ENSG00000138772	1.7689657096348	2.99016758252028e-05	0.00772248155280644
ENSG00000163449	0.994975554784916	3.11885098571868e-05	0.00789809828355471
ENSG00000259062	1.24780102575707	3.13462106989733e-05	0.00789809828355471
ENSG00000168958	0.496617025644949	3.18426305558263e-05	0.0079265131314931
ENSG00000197561	2.52914587146884	3.37954886397109e-05	0.00831248322363175
ENSG00000279368	1.94618845984232	3.55785782928885e-05	0.00840051154424558
ENSG00000247400	0.756477958718173	3.50578779395296e-05	0.00840051154424558
ENSG00000152463	3.05095870739539	3.64920989823452e-05	0.00840051154424558
ENSG00000259943	0.819569672777958	3.65929063928223e-05	0.00840051154424558
ENSG00000115425	1.00546399259489	3.60629494752313e-05	0.00840051154424558
ENSG00000255443	1.57042680443414	3.56979895459288e-05	0.00840051154424558
ENSG00000198814	1.13066668125426	3.74101131371298e-05	0.00840217121150577
ENSG00000163605	1.10155319441738	3.7439903068886e-05	0.00840217121150577
ENSG00000152229	1.37067103834039	3.78201404902975e-05	0.00840217121150577
ENSG00000163220	1.2273113850728	3.8586997276833e-05	0.00848133990145368
ENSG00000159885	0.799674559431431	3.9008741955521e-05	0.00848378544782125
ENSG00000133101	2.37581592097918	4.13738687123804e-05	0.00890443230694263
ENSG00000277224	1.51710361277071	4.20454635593908e-05	0.00895568373815023
ENSG00000272567	1.50698604569617	4.24954441813345e-05	0.00895916706357705
ENSG00000115590	2.18016061386288	4.41117770297384e-05	0.00902806112104906
ENSG00000167716	-0.509067219977741	4.38581014300785e-05	0.00902806112104906
ENSG00000076641	0.840942575223881	4.41331093957677e-05	0.00902806112104906
ENSG00000186105	2.11032802129194	4.49690039597825e-05	0.00910886853738301
ENSG00000249173	2.3549469517557	4.59569779179477e-05	0.009218612822939
ENSG00000203965	0.936701427983731	4.71270068661296e-05	0.00936241431597216
ENSG00000164221	0.779912023742586	4.89304846425339e-05	0.00962812136380375
ENSG00000205846	1.62690308172234	4.96489831882904e-05	0.00967733624201195
ENSG00000274290	1.18977999099013	5.11606976246996e-05	0.00969753370297173
ENSG00000100448	2.31833564261634	5.03452091430611e-05	0.00969753370297173
ENSG00000169684	1.74337098816781	5.09399956575989e-05	0.00969753370297173
ENSG00000203666	1.27787727164797	5.34218264591908e-05	0.00994367888714721
ENSG00000164821	2.56785258757043	5.31302026505804e-05	0.00994367888714721
ENSG00000118113	2.76232906795202	5.4773652728682e-05	0.0100148534427195
ENSG00000225921	0.457613672285968	5.44973057646895e-05	0.0100148534427195
ENSG00000145723	0.739029038804945	5.54619760285313e-05	0.0100517533923288
ENSG00000180855	1.01955129033184	5.67690961879884e-05	0.0101340579443015
ENSG00000197102	-0.517395389531076	5.73875794725946e-05	0.0101340579443015
ENSG00000115602	1.74254903333422	5.69531870669352e-05	0.0101340579443015
ENSG00000180712	1.24017670741358	5.81604409358029e-05	0.0101834988997849
ENSG00000206560	0.822777195729046	5.88603329934873e-05	0.0102014110909601
ENSG00000168779	1.80803111130384	5.93567982645396e-05	0.0102014110909601
ENSG00000107020	0.706772635101947	5.9743997967483e-05	0.0102014110909601
ENSG00000198363	1.36344557739819	6.04470391200193e-05	0.0102368547152354
